fk_cliente;fk_produto;fk_vendedor;fk_data_pedido;unidades_vendidas;preco_unitario;desconto_percentual;cod_pedido
29825;776;279;31/05/2011;1;2024.99;0;SO43659
29825;777;279;31/05/2011;3;2024.99;0;SO43659
29825;778;279;31/05/2011;1;2024.99;0;SO43659
29825;771;279;31/05/2011;1;2039.99;0;SO43659
29825;772;279;31/05/2011;1;2039.99;0;SO43659
29825;773;279;31/05/2011;2;2039.99;0;SO43659
29825;774;279;31/05/2011;1;2039.99;0;SO43659
29825;714;279;31/05/2011;3;28.84;0;SO43659
29825;716;279;31/05/2011;1;28.84;0;SO43659
29825;709;279;31/05/2011;6;5.70;0;SO43659
29825;712;279;31/05/2011;2;5.19;0;SO43659
29825;711;279;31/05/2011;4;20.19;0;SO43659
29672;762;279;31/05/2011;1;419.46;0;SO43660
29672;758;279;31/05/2011;1;874.79;0;SO43660
29734;745;282;31/05/2011;1;809.76;0;SO43661
29734;743;282;31/05/2011;1;714.70;0;SO43661
29734;747;282;31/05/2011;2;714.70;0;SO43661
29734;712;282;31/05/2011;4;5.19;0;SO43661
29734;715;282;31/05/2011;4;28.84;0;SO43661
29734;742;282;31/05/2011;2;722.59;0;SO43661
29734;775;282;31/05/2011;3;2024.99;0;SO43661
29734;778;282;31/05/2011;2;2024.99;0;SO43661
29734;711;282;31/05/2011;2;20.19;0;SO43661
29734;741;282;31/05/2011;2;818.70;0;SO43661
29734;776;282;31/05/2011;4;2024.99;0;SO43661
29734;773;282;31/05/2011;2;2039.99;0;SO43661
29734;716;282;31/05/2011;2;28.84;0;SO43661
29734;777;282;31/05/2011;2;2024.99;0;SO43661
29734;708;282;31/05/2011;5;20.19;0;SO43661
29994;764;282;31/05/2011;3;419.46;0;SO43662
29994;770;282;31/05/2011;5;419.46;0;SO43662
29994;730;282;31/05/2011;2;183.94;0;SO43662
29994;754;282;31/05/2011;4;874.79;0;SO43662
29994;725;282;31/05/2011;3;183.94;0;SO43662
29994;762;282;31/05/2011;5;419.46;0;SO43662
29994;765;282;31/05/2011;3;419.46;0;SO43662
29994;768;282;31/05/2011;2;419.46;0;SO43662
29994;753;282;31/05/2011;1;2146.96;0;SO43662
29994;756;282;31/05/2011;1;874.79;0;SO43662
29994;763;282;31/05/2011;3;419.46;0;SO43662
29994;732;282;31/05/2011;1;356.90;0;SO43662
29994;758;282;31/05/2011;6;874.79;0;SO43662
29994;729;282;31/05/2011;1;183.94;0;SO43662
29994;722;282;31/05/2011;3;178.58;0;SO43662
29994;749;282;31/05/2011;1;2146.96;0;SO43662
29994;760;282;31/05/2011;3;419.46;0;SO43662
